name,capital,region
Cyprus,Nicosia,Europe
Eritrea,Asmara,Africa
Liberia,Monrovia,Africa
Bermuda,Hamilton,Americas
Vatican City,Vatican City,Europe
Cook Islands,Avarua,Oceania
Somalia,Mogadishu,Africa
Zambia,Lusaka,Africa
Venezuela,Caracas,Americas
Turkmenistan,Ashgabat,Asia
Albania,Tirana,Europe
Croatia,Zagreb,Europe
United Kingdom,London,Europe
Sudan,Khartoum,Africa
Timor-Leste,Dili,Asia
Republic of the Congo,Brazzaville,Africa
Azerbaijan,Baku,Asia
Kenya,Nairobi,Africa
American Samoa,Pago Pago,Oceania
Ivory Coast,Yamoussoukro,Africa
Senegal,Dakar,Africa
Vietnam,Hanoi,Asia
El Salvador,San Salvador,Americas
Afghanistan,Kabul,Asia
Saint Martin,Marigot,Americas
Latvia,Riga,Europe
Guatemala,Guatemala City,Americas
Kuwait,Kuwait City,Asia
São Tomé and Príncipe,São Tomé,Africa
Kyrgyzstan,Bishkek,Asia
Poland,Warsaw,Europe
Guam,Hagåtña,Oceania
Ghana,Accra,Africa
Lithuania,Vilnius,Europe
Armenia,Yerevan,Asia
Jersey,Saint Helier,Europe
Grenada,St. George's,Americas
Tajikistan,Dushanbe,Asia
Ethiopia,Addis Ababa,Africa
Western Sahara,El Aaiún,Africa
Morocco,Rabat,Africa
Puerto Rico,San Juan,Americas
Christmas Island,Flying Fish Cove,Oceania
New Zealand,Wellington,Oceania
Brunei,Bandar Seri Begawan,Asia
French Guiana,Cayenne,Americas
Niue,Alofi,Oceania
Romania,Bucharest,Europe
Svalbard and Jan Mayen,Longyearbyen,Europe
Belarus,Minsk,Europe
Panama,Panama City,Americas
Cameroon,Yaoundé,Africa
Czechia,Prague,Europe
Saint Barthélemy,Gustavia,Americas
Greece,Athens,Europe
Mali,Bamako,Africa
Martinique,Fort-de-France,Americas
France,Paris,Europe
Pakistan,Islamabad,Asia
Peru,Lima,Americas
Barbados,Bridgetown,Americas
Greenland,Nuuk,Americas
Saint Pierre and Miquelon,Saint-Pierre,Americas
Chad,N'Djamena,Africa
Hungary,Budapest,Europe
Comoros,Moroni,Africa
Bangladesh,Dhaka,Asia
Tokelau,Fakaofo,Oceania
Fiji,Suva,Oceania
China,Beijing,Asia
Colombia,Bogotá,Americas
British Virgin Islands,Road Town,Americas
Algeria,Algiers,Africa
Maldives,Malé,Asia
Malaysia,Kuala Lumpur,Asia
Cayman Islands,George Town,Americas
Spain,Madrid,Europe
Ireland,Dublin,Europe
Estonia,Tallinn,Europe
Paraguay,Asunción,Americas
Uruguay,Montevideo,Americas
South Africa,Pretoria,Africa
Saint Lucia,Castries,Americas
Vanuatu,Port Vila,Oceania
Finland,Helsinki,Europe
Sweden,Stockholm,Europe
British Indian Ocean Territory,Diego Garcia,Africa
Lebanon,Beirut,Asia
United States,"Washington, D.C.",Americas
Chile,Santiago,Americas
Norfolk Island,Kingston,Oceania
Montserrat,Plymouth,Americas
Australia,Canberra,Oceania
Belize,Belmopan,Americas
Guyana,Georgetown,Americas
Mongolia,Ulan Bator,Asia
Tuvalu,Funafuti,Oceania
Dominican Republic,Santo Domingo,Americas
Equatorial Guinea,Malabo,Africa
Saint Kitts and Nevis,Basseterre,Americas
Bolivia,Sucre,Americas
Nepal,Kathmandu,Asia
French Southern and Antarctic Lands,Port-aux-Français,Antarctic
Taiwan,Taipei,Asia
Benin,Porto-Novo,Africa
Bulgaria,Sofia,Europe
Moldova,Chișinău,Europe
Isle of Man,Douglas,Europe
Bhutan,Thimphu,Asia
Cambodia,Phnom Penh,Asia
Antigua and Barbuda,Saint John's,Americas
Haiti,Port-au-Prince,Americas
Cape Verde,Praia,Africa
Georgia,Tbilisi,Asia
Burundi,Gitega,Africa
Bahamas,Nassau,Americas
Mauritius,Port Louis,Africa
Libya,Tripoli,Africa
Malawi,Lilongwe,Africa
Mexico,Mexico City,Americas
Eswatini,Mbabane,Africa
Papua New Guinea,Port Moresby,Oceania
Dominica,Roseau,Americas
Liechtenstein,Vaduz,Europe
Russia,Moscow,Europe
Israel,Jerusalem,Asia
Singapore,Singapore,Asia
Uganda,Kampala,Africa
Slovakia,Bratislava,Europe
Tonga,Nuku'alofa,Oceania
United Arab Emirates,Abu Dhabi,Asia
Mayotte,Mamoudzou,Africa
Suriname,Paramaribo,Americas
Uzbekistan,Tashkent,Asia
Saudi Arabia,Riyadh,Asia
Egypt,Cairo,Africa
Italy,Rome,Europe
Madagascar,Antananarivo,Africa
New Caledonia,Nouméa,Oceania
Canada,Ottawa,Americas
United States Virgin Islands,Charlotte Amalie,Americas
Marshall Islands,Majuro,Oceania
Mauritania,Nouakchott,Africa
Gambia,Banjul,Africa
Trinidad and Tobago,Port of Spain,Americas
Seychelles,Victoria,Africa
Japan,Tokyo,Asia
Brazil,Brasília,Americas
Syria,Damascus,Asia
"Saint Helena, Ascension and Tristan da Cunha",Jamestown,Africa
Tanzania,Dodoma,Africa
Andorra,Andorra la Vella,Europe
Iran,Tehran,Asia
Togo,Lomé,Africa
Malta,Valletta,Europe
South Korea,Seoul,Asia
Samoa,Apia,Oceania
Germany,Berlin,Europe
Niger,Niamey,Africa
Bouvet Island,,Antarctic
Jamaica,Kingston,Americas
Nicaragua,Managua,Americas
Guinea,Conakry,Africa
Anguilla,The Valley,Americas
Åland Islands,Mariehamn,Europe
Belgium,Brussels,Europe
Portugal,Lisbon,Europe
Denmark,Copenhagen,Europe
Philippines,Manila,Asia
Wallis and Futuna,Mata-Utu,Oceania
Austria,Vienna,Europe
Guinea-Bissau,Bissau,Africa
Monaco,Monaco,Europe
Namibia,Windhoek,Africa
United States Minor Outlying Islands,Washington DC,Americas
Costa Rica,San José,Americas
Bosnia and Herzegovina,Sarajevo,Europe
Macau,,Asia
Mozambique,Maputo,Africa
Réunion,Saint-Denis,Africa
Montenegro,Podgorica,Europe
North Korea,Pyongyang,Asia
Northern Mariana Islands,Saipan,Oceania
Ukraine,Kyiv,Europe
Iraq,Baghdad,Asia
South Georgia,King Edward Point,Antarctic
Angola,Luanda,Africa
Sierra Leone,Freetown,Africa
Micronesia,Palikir,Oceania
Cuba,Havana,Americas
Turks and Caicos Islands,Cockburn Town,Americas
Serbia,Belgrade,Europe
Ecuador,Quito,Americas
Faroe Islands,Tórshavn,Europe
Antarctica,,Antarctic
Palestine,Ramallah,Asia
Turkey,Ankara,Asia
Kiribati,South Tarawa,Oceania
Kazakhstan,Nur-Sultan,Asia
Gibraltar,Gibraltar,Europe
Iceland,Reykjavik,Europe
Palau,Ngerulmud,Oceania
Qatar,Doha,Asia
Switzerland,Bern,Europe
French Polynesia,Papeetē,Oceania
Pitcairn Islands,Adamstown,Oceania
Jordan,Amman,Asia
Myanmar,Naypyidaw,Asia
Thailand,Bangkok,Asia
Caribbean Netherlands,Kralendijk,Americas
Aruba,Oranjestad,Americas
Guadeloupe,Basse-Terre,Americas
Nigeria,Abuja,Africa
Bahrain,Manama,Asia
Laos,Vientiane,Asia
Cocos (Keeling) Islands,West Island,Oceania
Djibouti,Djibouti,Africa
Solomon Islands,Honiara,Oceania
Heard Island and McDonald Islands,,Antarctic
India,New Delhi,Asia
San Marino,City of San Marino,Europe
Luxembourg,Luxembourg,Europe
Sint Maarten,Philipsburg,Americas
Falkland Islands,Stanley,Americas
Central African Republic,Bangui,Africa
Botswana,Gaborone,Africa
Curaçao,Willemstad,Americas
Guernsey,St. Peter Port,Europe
Norway,Oslo,Europe
Gabon,Libreville,Africa
Zimbabwe,Harare,Africa
Lesotho,Maseru,Africa
Slovenia,Ljubljana,Europe
Argentina,Buenos Aires,Americas
Burkina Faso,Ouagadougou,Africa
Yemen,Sana'a,Asia
DR Congo,Kinshasa,Africa
Oman,Muscat,Asia
Indonesia,Jakarta,Asia
Nauru,Yaren,Oceania
Rwanda,Kigali,Africa
North Macedonia,Skopje,Europe
Kosovo,Pristina,Europe
Netherlands,Amsterdam,Europe
Tunisia,Tunis,Africa
South Sudan,Juba,Africa
Honduras,Tegucigalpa,Americas
Saint Vincent and the Grenadines,Kingstown,Americas
Sri Lanka,Sri Jayawardenepura Kotte,Asia
Hong Kong,City of Victoria,Asia
